Trend,Model,CVE,TargetDate,Pred,Actual,AbsError,SqError,PctError,PredDir,ActualDir,DirCorrect,HistoryPoints,LLM_Used,InputsPath
Monotonic,gpt-4o,CVE-2025-0168,2025-06-11,0.0001,0.0001,0.0,0.0,0.0,-1,-1,1,13,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0168.json
Monotonic,gpt-4o,CVE-2025-0802,2025-07-09,0.0001,0.0002,0.0001,1e-08,50.0,-1,1,0,9,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0802.json
Monotonic,gpt-4o,CVE-2025-0847,2025-07-10,0.0001,0.0001,0.0,0.0,0.0,-1,-1,1,8,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0847.json
Monotonic,gpt-4o,CVE-2025-0849,2025-07-10,0.0001,0.0002,0.0001,1e-08,50.0,-1,1,0,10,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0849.json
Monotonic,gpt-4o,CVE-2025-0967,2025-07-13,0.0001,0.0001,0.0,0.0,0.0,-1,-1,1,9,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0967.json
Monotonic,gpt-4o,CVE-2025-1339,2025-07-27,0.0016,0.0013,0.00030000000000000014,9.000000000000008e-08,23.07692307692309,1,1,1,11,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-1339.json
Monotonic,gpt-4o,CVE-2025-1369,2025-07-17,0.0003,0.0003,0.0,0.0,0.0,-1,-1,1,10,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-1369.json
Monotonic,gpt-4o,CVE-2025-1370,2025-07-17,0.002,0.0021,9.999999999999983e-05,9.999999999999965e-09,4.761904761904754,-1,-1,1,9,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-1370.json
Monotonic,gpt-4o,CVE-2025-1593,2025-07-23,0.00030000000000000003,0.0004,9.999999999999999e-05,9.999999999999999e-09,24.999999999999996,-1,-1,1,8,0,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-1593.json
Monotonic,gpt-4o,CVE-2025-1596,2025-07-23,0.0005,0.0003,0.00020000000000000004,4.0000000000000014e-08,66.66666666666669,1,-1,0,9,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-1596.json
Monotonic,gpt-4o,CVE-2025-1616,2025-07-24,0.0007,0.0006,0.00010000000000000005,1.0000000000000008e-08,16.66666666666668,1,-1,0,9,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-1616.json
Monotonic,gpt-4o,CVE-2025-1889,2025-07-04,0.0001,0.0002,0.0001,1e-08,50.0,-1,1,0,6,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-1889.json
Monotonic,gpt-4o,CVE-2025-3249,2025-06-20,0.0123,0.0125,0.00020000000000000052,4.000000000000021e-08,1.600000000000004,-1,-1,1,5,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-3249.json
Monotonic,gpt-4o,CVE-2025-3544,2025-06-21,0.0128,0.0118,0.0010000000000000009,1.0000000000000019e-06,8.474576271186448,-1,-1,1,5,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-3544.json
Monotonic,gpt-4o,CVE-2025-4664,2025-07-21,0.0002,0.0002,0.0,0.0,0.0,-1,-1,1,11,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-4664.json
Monotonic,gpt-4o,CVE-2025-0104,2025-06-21,0.0017,0.0018,0.00010000000000000005,1.0000000000000008e-08,5.555555555555558,1,1,1,7,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0104.json
Monotonic,gpt-4o,CVE-2025-0105,2025-06-21,0.0048,0.0049,0.00010000000000000026,1.0000000000000053e-08,2.0408163265306176,1,1,1,8,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0105.json
Monotonic,gpt-4o,CVE-2025-0106,2025-06-21,0.0016,0.0017000000000000001,0.00010000000000000005,1.0000000000000008e-08,5.882352941176473,1,1,1,7,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0106.json
Monotonic,gpt-4o,CVE-2025-0109,2025-07-23,0.0032,0.0032,0.0,0.0,0.0,1,1,1,8,0,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0109.json
Monotonic,gpt-4o,CVE-2025-0110,2025-07-23,0.0153,0.0171,0.0018000000000000013,3.2400000000000046e-06,10.52631578947369,1,1,1,12,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0110.json
Monotonic,gpt-4o,CVE-2025-0119,2025-06-18,0.0051,0.0052,9.99999999999994e-05,9.99999999999988e-09,1.9230769230769114,1,1,1,4,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0119.json
Monotonic,gpt-4o,CVE-2025-0132,2025-07-21,0.0018,0.002,0.0002000000000000001,4.0000000000000034e-08,10.000000000000005,1,1,1,4,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0132.json
Monotonic,gpt-4o,CVE-2025-0159,2025-07-27,0.0027,0.0013,0.0014000000000000002,1.9600000000000007e-06,107.69230769230771,1,-1,0,13,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0159.json
Monotonic,gpt-4o,CVE-2025-0162,2025-07-07,0.0018,0.0022,0.0004000000000000002,1.6000000000000014e-07,18.181818181818187,1,1,1,5,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0162.json
Monotonic,gpt-4o,CVE-2025-0170,2025-06-26,0.0014,0.0013,0.00010000000000000005,1.0000000000000008e-08,7.692307692307695,1,1,1,10,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0170.json
Monotonic,gpt-4o,CVE-2025-0177,2025-07-08,0.0012,0.0015,0.00030000000000000014,9.000000000000008e-08,20.00000000000001,1,1,1,8,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0177.json
Monotonic,gpt-4o,CVE-2025-0181,2025-07-22,0.0019,0.002,0.00010000000000000005,1.0000000000000008e-08,5.000000000000003,1,1,1,9,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0181.json
Monotonic,gpt-4o,CVE-2025-0182,2025-07-20,0.0006,0.0015,0.0009000000000000001,8.100000000000002e-07,60.00000000000001,-1,1,0,6,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0182.json
Monotonic,gpt-4o,CVE-2025-0185,2025-07-20,0.0036,0.0043,0.0007000000000000001,4.900000000000002e-07,16.27906976744186,1,1,1,9,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0185.json
Monotonic,gpt-4o,CVE-2025-0187,2025-07-20,0.0012,0.0023,0.0011,1.21e-06,47.82608695652174,1,1,1,14,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0187.json
Monotonic,gpt-4o,CVE-2025-0189,2025-07-20,0.0006,0.0014000000000000002,0.0008000000000000003,6.400000000000004e-07,57.14285714285715,-1,1,0,6,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0189.json
Monotonic,gpt-4o,CVE-2025-0190,2025-07-20,0.0006,0.0014000000000000002,0.0008000000000000003,6.400000000000004e-07,57.14285714285715,-1,1,0,6,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0190.json
Monotonic,gpt-4o,CVE-2025-0191,2025-07-20,0.0006,0.0013,0.0007,4.9e-07,53.84615384615385,1,1,1,8,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0191.json
Monotonic,gpt-4o,CVE-2025-0242,2025-07-26,0.0029,0.0033,0.0004000000000000002,1.6000000000000014e-07,12.121212121212126,1,1,1,11,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0242.json
Monotonic,gpt-4o,CVE-2025-0247,2025-06-17,0.0026,0.0028000000000000004,0.00020000000000000052,4.000000000000021e-08,7.14285714285716,1,1,1,9,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0247.json
Monotonic,gpt-4o,CVE-2025-0312,2025-07-20,0.0006,0.0018,0.0012000000000000001,1.4400000000000002e-06,66.66666666666667,-1,1,0,7,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0312.json
Monotonic,gpt-4o,CVE-2025-0315,2025-07-20,0.0006,0.0018,0.0012000000000000001,1.4400000000000002e-06,66.66666666666667,-1,1,0,7,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0315.json
Monotonic,gpt-4o,CVE-2025-0316,2025-07-19,0.0072,0.0074,0.00020000000000000052,4.000000000000021e-08,2.7027027027027097,1,1,1,15,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0316.json
Monotonic,gpt-4o,CVE-2025-0317,2025-07-20,0.0011,0.0025,0.0014,1.96e-06,55.99999999999999,1,1,1,8,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0317.json
Monotonic,gpt-4o,CVE-2025-0349,2025-06-19,0.0035,0.0043,0.0007999999999999999,6.399999999999999e-07,18.6046511627907,1,1,1,7,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0349.json
Monotonic,gpt-4o,CVE-2025-0364,2025-07-15,0.051,0.0482,0.002799999999999997,7.839999999999983e-06,5.809128630705388,1,1,1,14,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0364.json
Monotonic,gpt-4o,CVE-2025-0366,2025-07-12,0.0159,0.011200000000000002,0.004699999999999999,2.2089999999999993e-05,41.9642857142857,1,-1,0,15,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0366.json
Monotonic,gpt-4o,CVE-2025-0394,2025-06-24,0.004,0.0055000000000000005,0.0015000000000000005,2.2500000000000013e-06,27.272727272727277,1,1,1,9,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0394.json
Monotonic,gpt-4o,CVE-2025-0412,2025-06-23,0.0008,0.0008,0.0,0.0,0.0,1,1,1,7,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0412.json
Monotonic,gpt-4o,CVE-2025-0423,2025-07-18,0.0022,0.0033,0.0010999999999999998,1.2099999999999996e-06,33.33333333333333,1,1,1,8,1,/home/xiaoqun/RQ3_Experimants/results_rq3_exp1_llm/llm_inputs/Monotonic__gpt-4o__CVE-2025-0423.json
