Trend,Model,Samples,RMSE,MAE,MAPE(%),R2,Corr,DirAcc(%),LLM_Usage(%)
Monotonic,blackboxai,65,0.002339592337928193,0.0011523076923076925,48.80017846252782,0.8679132528876332,0.9444248093422483,52.307692307692314,0.0
Monotonic,command-r,65,0.0015636003817619626,0.0008538461538461538,32.371400215136106,0.9410029359527762,0.9875925964294251,46.15384615384615,100.0
Monotonic,gemini-1.5-flash,65,0.8347570413000419,0.7069830769230769,93121.02219495796,-16814.08420017162,0.06654723340659266,69.23076923076923,100.0
Monotonic,gemini-1.5-pro,65,0.8203824337090974,0.6753415384615385,74995.3722892214,-16239.955233859568,-0.17205359950673385,73.84615384615385,100.0
Monotonic,gpt-4,65,0.0013367008755773408,0.0007076923076923077,30.946039063310966,0.9568831197908029,0.9828277683769577,78.46153846153847,100.0
Monotonic,gpt-4o,65,0.0010406359002663116,0.0006538461538461538,31.70440954439967,0.9738677699507027,0.9897230188844194,70.76923076923077,90.76923076923077
Monotonic,gpt-4o-mini,65,0.004146965231439641,0.002311246153846154,65.35139955147395,0.5850080688725494,0.8351040194118649,55.38461538461539,95.38461538461539
Stable,blackboxai,47,0.0002306328020072306,0.00016595744680851374,30.076999387411128,0.9999971062621352,0.999999190640977,44.680851063829785,0.0
Stable,command-r,47,0.00015211278010850919,0.00010957446808510546,18.166492658460463,0.9999987412240288,0.9999996041829812,38.297872340425535,100.0
Stable,gemini-1.5-flash,47,0.8499989793485737,0.7229808510638299,175604.32362160357,-38.305547024091176,0.06721494759107442,65.95744680851064,100.0
Stable,gemini-1.5-pro,47,0.8374607764470131,0.7030061702127659,188297.66818242814,-37.15451938009269,0.09164776666306518,59.57446808510638,100.0
Stable,gpt-4,47,0.00036930066168827864,0.00020212765957446598,36.5994702037382,0.9999925804561146,0.9999969455238363,55.319148936170215,100.0
Stable,gpt-4o,47,0.00021338208662775922,0.00012340425531914872,20.44679111087279,0.9999975229603877,0.9999995534802693,40.42553191489361,89.36170212765957
Stable,gpt-4o-mini,47,0.0005253185457111495,0.0003257446808510617,51.53451341657327,0.9999849871722079,0.9999964352550652,46.808510638297875,91.48936170212765
Sudden_Change,blackboxai,50,0.10332886721531405,0.040568,56.46212616386175,0.8738050174269854,0.9426495104370024,46.0,0.0
Sudden_Change,command-r,50,0.07210186266664684,0.020165999999999996,26.64221905448868,0.9385542683103919,0.970166206859528,52.0,100.0
Sudden_Change,gemini-1.5-flash,50,0.7056758169301255,0.5665020000000001,8200.134122622458,-4.88585041779021,0.27950631398158576,48.0,100.0
Sudden_Change,gemini-1.5-pro,50,0.7132079142858694,0.572974,10757.739365771948,-5.012167325498165,0.19488972941192995,48.0,100.0
Sudden_Change,gpt-4,50,0.08859972686188147,0.038068000000000005,356.844869419078,0.9072180453777732,0.9566183260010599,46.0,100.0
Sudden_Change,gpt-4o,50,0.07932833037446332,0.027488000000000005,62.55751045653324,0.9256201361647945,0.9639135447697765,50.0,86.0
Sudden_Change,gpt-4o-mini,50,0.07652153945132051,0.032304,88.8791392951716,0.9307904303966478,0.9664928253777397,60.0,96.0
