Trend,Model,WindowYears,Samples,RMSE,MAE,MAPE(%),R2,Corr,DirAcc(%)
Monotonic,blackboxai,0.5,65,0.002339592337928193,0.0011523076923076925,48.80017846252782,0.8679132528876332,0.9444248093422483,52.307692307692314
Monotonic,blackboxai,1.0,65,0.002339592337928193,0.0011523076923076925,48.80017846252782,0.8679132528876332,0.9444248093422483,52.307692307692314
Monotonic,blackboxai,2.0,65,0.002339592337928193,0.0011523076923076925,48.80017846252782,0.8679132528876332,0.9444248093422483,52.307692307692314
Monotonic,command-r,0.5,65,0.0018951456205465909,0.0009161538461538462,30.46022315976537,0.9133309499135732,0.9830033448814979,47.69230769230769
Monotonic,command-r,1.0,65,0.001880067511062793,0.0008869230769230769,30.12917951742789,0.9147045718937181,0.9810801978542649,47.69230769230769
Monotonic,command-r,2.0,65,0.0019022254173629205,0.00092,31.708281230019423,0.9126821919648427,0.9812355515549952,38.46153846153847
Monotonic,gemini-1.5-flash,0.5,65,0.8736143286555618,0.7671124615384616,98483.37150662109,-18415.97765843259,0.0777714657427999,69.23076923076923
Monotonic,gemini-1.5-flash,1.0,65,0.7911949461221494,0.6307784615384616,82166.61758018879,-15104.874531140837,0.08151005948277637,69.23076923076923
Monotonic,gemini-1.5-flash,2.0,65,0.8292599158285658,0.6904615384615383,101182.72700352606,-16593.34866101271,-0.07100697928997318,69.23076923076923
Monotonic,gemini-1.5-pro,0.5,65,0.8285756490229762,0.6896676923076923,63526.64747711956,-16565.974186644442,0.11948281538816634,69.23076923076923
Monotonic,gemini-1.5-pro,1.0,65,0.8468957796201736,0.7203200000000001,76418.88562226908,-17306.677787236065,0.09657440318576259,81.53846153846153
Monotonic,gemini-1.5-pro,2.0,65,0.8561193230996573,0.7360092307692307,119800.76589058997,-17685.726619411784,0.021343326074463587,66.15384615384615
Monotonic,gpt-4,0.5,65,0.001001076343818915,0.0006400000000000002,31.422394730009028,0.9758168281657732,0.9918425815513894,72.3076923076923
Monotonic,gpt-4,1.0,65,0.0012344416364681457,0.0007800000000000001,35.739019804063034,0.963227768342337,0.9880414942570701,63.07692307692307
Monotonic,gpt-4,2.0,65,0.012268076145333151,0.002198461538461539,139.7295441671797,-2.631882502946004,0.4635815468076617,67.6923076923077
Monotonic,gpt-4o,0.5,65,0.0015854628055215635,0.0007923076923076924,32.66308271750141,0.9393415958551685,0.98743821896071,63.07692307692307
Monotonic,gpt-4o,1.0,65,0.0010622907033677454,0.0006507692307692308,27.160077358724514,0.9727688723665867,0.988148912416456,63.07692307692307
Monotonic,gpt-4o,2.0,65,0.0012740003622750359,0.0007261538461538461,32.26443007355218,0.960833211106679,0.989822388486012,67.6923076923077
Monotonic,gpt-4o-mini,0.5,65,0.0038458443106213313,0.0019333846153846155,55.12466113181915,0.6430870860343139,0.8417122641608629,55.38461538461539
Monotonic,gpt-4o-mini,1.0,65,0.003780185131811566,0.0021242461538461535,65.7493410356048,0.6551700307554247,0.8974138612480881,47.69230769230769
Monotonic,gpt-4o-mini,2.0,65,0.00423303419092481,0.0023639999999999993,63.419028386609114,0.5676032541076153,0.799774120022919,46.15384615384615
Stable,blackboxai,0.5,47,0.0002306328020072306,0.00016595744680851374,30.076999387411128,0.9999971062621352,0.999999190640977,44.680851063829785
Stable,blackboxai,1.0,47,0.0002306328020072306,0.00016595744680851374,30.076999387411128,0.9999971062621352,0.999999190640977,44.680851063829785
Stable,blackboxai,2.0,47,0.0002306328020072306,0.00016595744680851374,30.076999387411128,0.9999971062621352,0.999999190640977,44.680851063829785
Stable,command-r,0.5,47,0.00021162994599666817,0.00012127659574468065,17.71637141236799,0.9999975634727178,0.999999626981546,38.297872340425535
Stable,command-r,1.0,47,0.00018864015050612878,0.00011808510638297664,18.234324710933127,0.9999980640893684,0.9999996590313254,42.5531914893617
Stable,command-r,2.0,47,0.0001728977068132319,0.00011489361702127495,18.66109259916392,0.99999837371932,0.9999996423441124,42.5531914893617
Stable,gemini-1.5-flash,0.5,47,0.886727419592654,0.7867844680851064,213640.05648212368,-41.7757184356584,0.05023394384412635,59.57446808510638
Stable,gemini-1.5-flash,1.0,47,0.862453296916246,0.7455234042553192,177680.51266064498,-39.465807368047166,0.08217356089154217,55.319148936170215
Stable,gemini-1.5-flash,2.0,47,0.8116285145219495,0.6592563829787235,168960.6146925701,-34.83699856586844,0.083426384871283,51.06382978723404
Stable,gemini-1.5-pro,0.5,47,0.8247114877324508,0.6817814893617024,198667.08476466394,-36.001652869508405,0.09601226881298666,53.191489361702125
Stable,gemini-1.5-pro,1.0,47,0.850023881767135,0.724263829787234,162653.0405228537,-38.30785012690789,0.08726408361228907,59.57446808510638
Stable,gemini-1.5-pro,2.0,47,0.824874464078845,0.6841170212765959,191368.5243121141,-36.016278566219825,0.0958425036080658,59.57446808510638
Stable,gpt-4,0.5,47,0.0002070563701640997,0.00014255319148936358,36.5315102402601,0.9999976676472809,0.9999991230379508,55.319148936170215
Stable,gpt-4,1.0,47,0.00025192450743587456,0.00013978723404255302,25.5372621055991,0.9999965473077292,0.9999991446430084,57.446808510638306
Stable,gpt-4,2.0,47,0.01441377517840545,0.00224468085106383,201.28603460969074,0.9886975518354586,0.994498506116557,57.446808510638306
Stable,gpt-4o,0.5,47,0.00021855424371722463,0.00012553191489361683,19.241117352007546,0.9999974014233974,0.9999995070252204,44.680851063829785
Stable,gpt-4o,1.0,47,0.0002104958684589733,0.00011595744680851045,18.546250752885626,0.9999975895163586,0.999999597175837,46.808510638297875
Stable,gpt-4o,2.0,47,0.00021013673360102976,0.00012170212765957426,19.170325259938853,0.9999975977345742,0.9999996064098192,42.5531914893617
Stable,gpt-4o-mini,0.5,47,0.005867969491864017,0.0011572340425531923,56.7211037722595,0.9981267629848587,0.9999957544196937,51.06382978723404
Stable,gpt-4o-mini,1.0,47,0.005861273314932555,0.0011119787234042562,54.554901475738035,0.9981310357983227,0.9999971579525616,44.680851063829785
Stable,gpt-4o-mini,2.0,47,0.00044874171597876955,0.0003083617021276575,54.04032698289285,0.9999890450619732,0.9999967153429242,42.5531914893617
Sudden_Change,blackboxai,0.5,50,0.10332886721531405,0.040568,56.46212616386175,0.8738050174269854,0.9426495104370024,46.0
Sudden_Change,blackboxai,1.0,50,0.10332886721531405,0.040568,56.46212616386175,0.8738050174269854,0.9426495104370024,46.0
Sudden_Change,blackboxai,2.0,50,0.10332886721531405,0.040568,56.46212616386175,0.8738050174269854,0.9426495104370024,46.0
Sudden_Change,command-r,0.5,50,0.07512862437180651,0.021986000000000002,29.714059900636556,0.9332871299021798,0.9675733655368215,50.0
Sudden_Change,command-r,1.0,50,0.07253263127723962,0.021442000000000003,28.66861459144915,0.9378178667818979,0.9697553756380063,38.0
Sudden_Change,command-r,2.0,50,0.0753864961382342,0.022674,29.36737026454545,0.9328283729304547,0.9673227640229511,48.0
Sudden_Change,gemini-1.5-flash,0.5,50,0.7622951046674772,0.645262,9396.364371281676,-5.86823289205669,0.19573260899839254,50.0
Sudden_Change,gemini-1.5-flash,1.0,50,0.7316534716653779,0.6033219999999999,11050.656933868595,-5.327171797367599,0.24510989696724,52.0
Sudden_Change,gemini-1.5-flash,2.0,50,0.7038937995180807,0.562214,9669.851065451654,-4.856161304666976,0.21300270370603624,44.0
Sudden_Change,gemini-1.5-pro,0.5,50,0.7626541844112573,0.6450580000000001,12516.607700759934,-5.874704989686544,0.10891766453943008,48.0
Sudden_Change,gemini-1.5-pro,1.0,50,0.6698272333967916,0.5115500000000001,9973.504333016903,-4.303033285660792,0.3125085297379959,46.0
Sudden_Change,gemini-1.5-pro,2.0,50,0.7572346285003083,0.637482,10676.314664255282,-5.777346400739564,0.16135396011249434,50.0
Sudden_Change,gpt-4,0.5,50,0.08356887458856917,0.030836000000000006,91.6014985825419,0.9174555537019973,0.9606918535577933,42.0
Sudden_Change,gpt-4,1.0,50,0.08427433654440716,0.03109,138.08007871531166,0.9160560433048415,0.959319048492028,48.0
